Farm Name,Collect Date,Collect Time,House Name,House Number,Flock Number,Alarm,Growth Day,Time,Temperature Curve On/Off,House Mode,Vent Mode,Set Temperature,Target Pressure,Cycle,Average Temperature,Static Pressure,Temperature Sensor 1,Temperature Sensor 2,Temperature Sensor 3,Temperature Sensor 4,Daily Water,Heaters,Tunnel Fans,Cooling Pad,Air Vent 1 Position (%),Tunnel Curtain 1 Position (%),Light 2,Light 3,Feeding,Auger
Danang Farm,3/9/2023,10:00:27 PM,1,1,9,OFF,56,23:03,ON,Full,Minimum Ventilation,67.3,0.075,OFF,72.7,0.08,71.5,71.4,73.3,74.7,1427,OFF,4,OFF,100,25,OFF,OFF,OFF,OFF
Danang Farm,3/9/2023,10:01:29 PM,1,1,9,OFF,56,23:04,ON,Full,Minimum Ventilation,67.3,0.075,OFF,72.7,0.079,71.4,71.4,73.3,74.6,1427,OFF,4,OFF,100,25,OFF,OFF,OFF,OFF
Danang Farm,3/9/2023,10:02:31 PM,1,1,9,OFF,56,23:05,ON,Full,Minimum Ventilation,67.3,0.075,OFF,72.6,0.079,71.4,71.3,73.4,74.4,1427,OFF,4,OFF,100,25,OFF,OFF,OFF,OFF
Danang Farm,3/9/2023,10:03:33 PM,1,1,9,OFF,56,23:06,ON,Full,Minimum Ventilation,67.3,0.075,OFF,72.6,0.079,71.3,71.2,73.4,74.5,1427,OFF,4,OFF,100,25,OFF,OFF,OFF,OFF
Danang Farm,3/9/2023,10:04:35 PM,1,1,9,OFF,56,23:07,ON,Full,Minimum Ventilation,67.3,0.075,OFF,72.6,0.079,71.2,71.2,73.4,74.4,1427,OFF,4,OFF,100,25,OFF,OFF,OFF,OFF
Danang Farm,3/9/2023,10:05:37 PM,1,1,9,OFF,56,23:09,ON,Full,Minimum Ventilation,67.3,0.075,OFF,72.5,0.079,71.1,71.2,73.5,74.2,1427,OFF,4,OFF,100,25,OFF,OFF,OFF,OFF
Danang Farm,3/9/2023,10:06:41 PM,1,1,9,OFF,56,23:10,ON,Full,Minimum Ventilation,67.3,0.075,OFF,72.4,0.081,71.1,71,73.4,74.2,1427,OFF,4,OFF,100,25,OFF,OFF,OFF,OFF
Danang Farm,3/9/2023,10:07:43 PM,1,1,9,OFF,56,23:11,ON,Full,Minimum Ventilation,67.3,0.075,OFF,72.5,0.079,71.1,71.2,73.4,74.2,1427,OFF,4,OFF,100,25,OFF,OFF,OFF,OFF
Danang Farm,3/9/2023,10:08:45 PM,1,1,9,OFF,56,23:12,ON,Full,Minimum Ventilation,67.3,0.075,OFF,72.4,0.079,71,71,73.4,74.1,1427,OFF,4,OFF,100,25,OFF,OFF,OFF,OFF
Danang Farm,3/9/2023,10:09:48 PM,1,1,9,OFF,56,23:13,ON,Full,Minimum Ventilation,67.3,0.075,OFF,72.3,0.078,70.9,70.9,73.4,74.1,1427,OFF,4,OFF,100,25,OFF,OFF,OFF,OFF
Danang Farm,3/9/2023,10:10:50 PM,1,1,9,OFF,56,23:14,ON,Full,Minimum Ventilation,67.3,0.075,OFF,72.3,0.079,70.9,70.9,73.4,74.1,1427,OFF,4,OFF,100,25,OFF,OFF,OFF,OFF
Danang Farm,3/9/2023,10:11:52 PM,1,1,9,OFF,56,23:15,ON,Full,Minimum Ventilation,67.3,0.075,OFF,72.3,0.079,70.8,70.8,73.4,74.1,1427,OFF,4,OFF,100,25,OFF,OFF,OFF,OFF
Danang Farm,3/9/2023,10:12:54 PM,1,1,9,OFF,56,23:16,ON,Full,Minimum Ventilation,67.3,0.075,OFF,72.2,0.078,70.7,70.8,73.4,74.1,1427,OFF,4,OFF,100,25,OFF,OFF,OFF,OFF
Danang Farm,3/9/2023,10:13:56 PM,1,1,9,OFF,56,23:17,ON,Full,Minimum Ventilation,67.3,0.075,OFF,72.2,0.079,70.6,70.9,73.4,74,1427,OFF,4,OFF,100,25,OFF,OFF,OFF,OFF
