Farm Name,Collect Date,Collect Time,House Name,House Number,Flock Number,Alarm,Growth Day,Time,Temperature Curve On/Off,House Mode,Vent Mode,Set Temperature,Target Pressure,Cycle,Average Temperature,Static Pressure,Temperature Sensor 1,Temperature Sensor 2,Temperature Sensor 3,Temperature Sensor 4,Daily Water,Heaters,Tunnel Fans,Cooling Pad,Air Vent 1 Position (%),Tunnel Curtain 1 Position (%),Light 2,Light 3,Feeding,Auger
Danang Farm,3/9/2023,10:00:23 PM,2,2,9,OFF,56,22:28,ON,Full,Minimum Ventilation,67.3,0.100,OFF,72.6,0.097,71.6,71.7,72.8,74.3,1575,OFF,4,OFF,100,9,OFF,OFF,OFF,OFF
Danang Farm,3/9/2023,10:01:25 PM,2,2,9,OFF,56,22:29,ON,Full,Minimum Ventilation,67.3,0.100,OFF,72.5,0.096,71.5,71.7,72.6,74.1,1575,OFF,4,OFF,100,9,OFF,OFF,OFF,OFF
Danang Farm,3/9/2023,10:02:27 PM,2,2,9,OFF,56,22:30,ON,Full,Minimum Ventilation,67.3,0.100,OFF,72.5,0.097,71.5,71.7,72.5,74.2,1575,OFF,4,OFF,100,9,OFF,OFF,OFF,OFF
Danang Farm,3/9/2023,10:03:30 PM,2,2,9,OFF,56,22:31,ON,Full,Minimum Ventilation,67.3,0.100,OFF,72.4,0.097,71.5,71.7,72.6,74.1,1575,OFF,4,OFF,100,9,OFF,OFF,OFF,OFF
Danang Farm,3/9/2023,10:04:32 PM,2,2,9,OFF,56,22:32,ON,Full,Minimum Ventilation,67.3,0.100,OFF,72.4,0.096,71.3,71.5,72.5,74.2,1575,OFF,4,OFF,100,9,OFF,OFF,OFF,OFF
Danang Farm,3/9/2023,10:05:34 PM,2,2,9,OFF,56,22:33,ON,Full,Minimum Ventilation,67.3,0.100,OFF,72.4,0.095,71.4,71.4,72.5,74.2,1575,OFF,4,OFF,100,9,OFF,OFF,OFF,OFF
Danang Farm,3/9/2023,10:06:37 PM,2,2,9,OFF,56,22:34,ON,Full,Minimum Ventilation,67.3,0.100,OFF,72.4,0.096,71.5,71.4,72.3,74.2,1575,OFF,4,OFF,100,9,OFF,OFF,OFF,OFF
Danang Farm,3/9/2023,10:07:39 PM,2,2,9,OFF,56,22:35,ON,Full,Minimum Ventilation,67.3,0.100,OFF,72.3,0.094,71.5,71.2,72.2,74.2,1575,OFF,4,OFF,100,9,OFF,OFF,OFF,OFF
Danang Farm,3/9/2023,10:08:42 PM,2,2,9,OFF,56,22:36,ON,Full,Minimum Ventilation,67.3,0.100,OFF,72.2,0.094,71.5,71.2,72.1,73.9,1575,OFF,4,OFF,100,9,OFF,OFF,OFF,OFF
Danang Farm,3/9/2023,10:09:44 PM,2,2,9,OFF,56,22:37,ON,Full,Minimum Ventilation,67.3,0.100,OFF,72.1,0.095,71.3,71.2,72.2,73.8,1575,OFF,4,OFF,100,9,OFF,OFF,OFF,OFF
Danang Farm,3/9/2023,10:10:46 PM,2,2,9,OFF,56,22:38,ON,Full,Minimum Ventilation,67.3,0.100,OFF,72.1,0.097,71.3,71.2,72.0,73.8,1575,OFF,4,OFF,100,9,OFF,OFF,OFF,OFF
Danang Farm,3/9/2023,10:11:48 PM,2,2,9,OFF,56,22:39,ON,Full,Minimum Ventilation,67.3,0.100,OFF,72.1,0.096,71.3,71.4,72.0,73.8,1575,OFF,4,OFF,100,9,OFF,OFF,OFF,OFF
Danang Farm,3/9/2023,10:12:50 PM,2,2,9,OFF,56,22:40,ON,Full,Minimum Ventilation,67.3,0.100,OFF,72.1,0.095,71.1,71.4,72.2,73.7,1575,OFF,4,OFF,100,9,OFF,OFF,OFF,OFF
Danang Farm,3/9/2023,10:13:53 PM,2,2,9,OFF,56,22:41,ON,Full,Minimum Ventilation,67.3,0.100,OFF,72.1,0.096,71.3,71.4,72.0,73.7,1575,OFF,4,OFF,100,9,OFF,OFF,OFF,OFF
