Farm Name,Collect Date,Collect Time,House Name,House Number,Flock Number,Alarm,Growth Day,Time,Temperature Curve On/Off,House Mode,Vent Mode,Set Temperature,Target Pressure,Cycle,Average Temperature,Static Pressure,Temperature Sensor 1,Temperature Sensor 2,Temperature Sensor 3,Temperature Sensor 4,Daily Water,Heaters,Tunnel Fans,Cooling Pad,Air Vent 1 Position (%),Tunnel Curtain 1 Position (%),Light 2,Light 3,Feeding,Auger
Danang Farm,3/9/2023,10:00:24 PM,4,4,10,OFF,56,21:38,ON,Full,Tunnel,67.4,0.040,OFF,75.0,0.040,(71.8),74.2,74.7,76.2,1452,OFF,4,OFF,0,100,ON  7%,OFF,OFF,OFF
Danang Farm,3/9/2023,10:01:27 PM,4,4,10,OFF,56,21:39,ON,Full,Tunnel,67.4,0.040,OFF,74.8,0.038,(71.5),73.6,74.7,76.0,1453,OFF,4,OFF,0,100,ON  6%,OFF,OFF,OFF
Danang Farm,3/9/2023,10:02:29 PM,4,4,10,OFF,56,21:40,ON,Full,Tunnel,67.4,0.040,OFF,74.7,0.039,(71.2),73.3,74.7,76.0,1453,OFF,4,OFF,0,100,ON  6%,OFF,OFF,OFF
Danang Farm,3/9/2023,10:03:31 PM,4,4,10,OFF,56,21:41,ON,Full,Tunnel,67.4,0.040,OFF,74.5,0.038,(71.0),73.3,74.4,75.8,1454,OFF,4,OFF,0,100,ON  6%,OFF,OFF,OFF
Danang Farm,3/9/2023,10:04:33 PM,4,4,10,OFF,56,21:42,ON,Full,Tunnel,67.4,0.040,OFF,74.4,0.039,(70.9),73.4,74.2,75.7,1455,OFF,4,OFF,0,100,ON  5%,OFF,OFF,OFF
Danang Farm,3/9/2023,10:05:35 PM,4,4,10,OFF,56,21:43,ON,Full,Tunnel,67.4,0.040,OFF,74.4,0.038,(70.9),73.4,74.2,75.5,1456,OFF,4,OFF,0,100,ON  5%,OFF,OFF,OFF
Danang Farm,3/9/2023,10:06:38 PM,4,4,10,OFF,56,21:44,ON,Full,Tunnel,67.4,0.040,OFF,74.3,0.036,(71.0),73.3,74.4,75.3,1457,OFF,4,OFF,0,100,ON  5%,OFF,OFF,OFF
Danang Farm,3/9/2023,10:07:41 PM,4,4,10,OFF,56,21:45,ON,Full,Tunnel,67.4,0.040,OFF,74.3,0.037,(71.0),73.1,74.3,75.3,1457,OFF,4,OFF,0,100,ON  4%,OFF,OFF,OFF
Danang Farm,3/9/2023,10:08:43 PM,4,4,10,OFF,56,21:46,ON,Full,Tunnel,67.3,0.040,OFF,74.2,0.035,(71.0),73.0,74.2,75.3,1458,OFF,4,OFF,0,100,ON  4%,OFF,OFF,OFF
Danang Farm,3/9/2023,10:09:45 PM,4,4,10,OFF,56,21:47,ON,Full,Tunnel,67.3,0.040,OFF,74.1,0.035,(71.0),72.8,74.1,75.3,1458,OFF,4,OFF,0,100,ON  4%,OFF,OFF,OFF
Danang Farm,3/9/2023,10:10:47 PM,4,4,10,OFF,56,21:48,ON,Full,Tunnel,67.3,0.040,OFF,74.0,0.036,(71.1),72.6,73.9,75.3,1458,OFF,4,OFF,0,100,ON  3%,OFF,OFF,OFF
Danang Farm,3/9/2023,10:11:49 PM,4,4,10,OFF,56,21:49,ON,Full,Tunnel,67.3,0.040,OFF,73.9,0.035,(71.2),72.6,73.9,75.2,1459,OFF,4,OFF,0,100,ON  3%,OFF,OFF,OFF
Danang Farm,3/9/2023,10:12:52 PM,4,4,10,OFF,56,21:50,ON,Full,Tunnel,67.3,0.040,OFF,73.8,0.039,(71.0),72.5,73.7,75.2,1459,OFF,4,OFF,0,100,ON  3%,OFF,OFF,OFF
Danang Farm,3/9/2023,10:13:54 PM,4,4,10,OFF,56,21:51,ON,Full,Tunnel,67.3,0.040,OFF,73.7,0.037,(70.9),72.3,73.6,75.2,1459,OFF,4,OFF,0,100,ON  2%,OFF,OFF,OFF
